Timestamp,1. What is your academic year?,"2. On average, how many hours per day do you spend on social media?",3. Which social media platform do you use the most?,"4.How often do you check social media while studying?
",5. How often do you delay starting your academic tasks?,6. How often do you leave assignments until the last minute?,7. How would you rate your level of procrastination?,8. What do you most commonly do instead of completing a task?,9. Do you think social media affects your productivity?,"10.  On a scale of 1–5, how much does social media negatively impact your ability to focus?"
4/6/2026 17:20:00,2nd Year,5–6 hours,TikTok,Often,Often,Always,4,Scroll on social media,Yes,4
4/6/2026 17:27:01,5th Year,5–6 hours,TikTok,Always,Rarely,Rarely,3,Scroll on social media,Maybe,4
4/6/2026 17:29:49,4th Year,3–4 hours,Instagram,Sometimes,Sometimes,Never,3,Scroll on social media,Yes,5
4/6/2026 17:30:06,2nd Year,More than 6 hours,TikTok,Always,Always,Often,5,Scroll on social media,Yes,5
4/6/2026 17:34:19,2nd Year,3–4 hours,LinkedIn,Sometimes,Sometimes,Always,2,Extracurricular,Yes,4
4/6/2026 17:35:25,4th Year,3–4 hours,TikTok,Often,Often,Often,4,Scroll on social media,Yes,5
4/6/2026 17:36:48,2nd Year,3–4 hours,Instagram,Often,Often,Often,4,Scroll on social media,Yes,4
4/6/2026 17:36:58,4th Year,3–4 hours,Instagram,Often,Always,Always,5,Watch videos,Yes,4
4/6/2026 17:37:38,1st Year,5–6 hours,TikTok,Always,Sometimes,Sometimes,3,Scroll on social media,Yes,3
4/6/2026 17:38:47,1st Year,3–4 hours,TikTok,Often,Often,Often,4,Scroll on social media,Yes,4
4/6/2026 17:38:55,1st Year,5–6 hours,TikTok,Often,Often,Always,3,Talk to friends/family,Yes,3
4/6/2026 17:41:03,3rd Year,3–4 hours,TikTok,Often,Sometimes,Always,4,Scroll on social media,Yes,4
4/6/2026 17:41:32,2nd Year,3–4 hours,TikTok,Sometimes,Sometimes,Rarely,3,Talk to friends/family,Yes,3
4/6/2026 17:41:38,1st Year,5–6 hours,TikTok,Sometimes,Sometimes,Sometimes,2,Watch videos,Maybe,3
4/6/2026 17:41:42,1st Year,1–2 hours,Instagram,Often,Always,Often,4,Watch videos,Yes,3
4/6/2026 17:45:27,2nd Year,3–4 hours,Instagram,Often,Often,Sometimes,5,Scroll on social media,Yes,5
